11R4_CV943: ['MQ.11R4.B1', 'MB.A12R4.B1', 'MB.B12R4.B1', 'MB.C12R4.B1']
13R4_CV947: ['MQ.12R4.B1', 'MB.A13R4.B1', 'MB.B13R4.B1', 'MB.C13R4.B1']
13R4_CV943: ['MQ.13R4.B1', 'MB.A14R4.B1', 'MB.B14R4.B1', 'MB.C14R4.B1']
15R4_CV947: ['MQ.14R4.B1', 'MB.A15R4.B1', 'MB.B15R4.B1', 'MB.C15R4.B1']
15R4_CV943: ['MQ.15R4.B1', 'MB.A16R4.B1', 'MB.B16R4.B1', 'MB.C16R4.B1']
17R4_CV947: ['MQ.16R4.B1', 'MB.A17R4.B1', 'MB.B17R4.B1', 'MB.C17R4.B1']
17R4_CV943: ['MQ.17R4.B1', 'MB.A18R4.B1', 'MB.B18R4.B1', 'MB.C18R4.B1']
19R4_CV947: ['MQ.18R4.B1', 'MB.A19R4.B1', 'MB.B19R4.B1', 'MB.C19R4.B1']
19R4_CV943: ['MQ.19R4.B1', 'MB.A20R4.B1', 'MB.B20R4.B1', 'MB.C20R4.B1']
21R4_CV947: ['MQ.20R4.B1', 'MB.A21R4.B1', 'MB.B21R4.B1', 'MB.C21R4.B1']
21R4_CV943: ['MQ.21R4.B1', 'MB.A22R4.B1', 'MB.B22R4.B1', 'MB.C22R4.B1']
23R4_CV947: ['MQ.22R4.B1', 'MB.A23R4.B1', 'MB.B23R4.B1', 'MB.C23R4.B1']
23R4_CV943: ['MQ.23R4.B1', 'MB.A24R4.B1', 'MB.B24R4.B1', 'MB.C24R4.B1']
25R4_CV947: ['MQ.24R4.B1', 'MB.A25R4.B1', 'MB.B25R4.B1', 'MB.C25R4.B1']
25R4_CV943: ['MQ.25R4.B1', 'MB.A26R4.B1', 'MB.B26R4.B1', 'MB.C26R4.B1']
27R4_CV947: ['MQ.26R4.B1', 'MB.A27R4.B1', 'MB.B27R4.B1', 'MB.C27R4.B1']
27R4_CV943: ['MQ.27R4.B1', 'MB.A28R4.B1', 'MB.B28R4.B1', 'MB.C28R4.B1']
29R4_CV947: ['MQ.28R4.B1', 'MB.A29R4.B1', 'MB.B29R4.B1', 'MB.C29R4.B1']
29R4_CV943: ['MQ.29R4.B1', 'MB.A30R4.B1', 'MB.B30R4.B1', 'MB.C30R4.B1']
31R4_CV947: ['MQ.30R4.B1', 'MB.A31R4.B1', 'MB.B31R4.B1', 'MB.C31R4.B1']
31R4_CV943: ['MQ.31R4.B1', 'MB.A32R4.B1', 'MB.B32R4.B1', 'MB.C32R4.B1']
33R4_CV947: ['MQ.32R4.B1', 'MB.A33R4.B1', 'MB.B33R4.B1', 'MB.C33R4.B1']
33R4_CV943: ['MQ.33R4.B1', 'MB.A34R4.B1', 'MB.B34R4.B1', 'MB.C34R4.B1']
33L5_CV947: ['MQ.34R4.B1', 'MB.C34L5.B1', 'MB.B34L5.B1', 'MB.A34L5.B1']
33L5_CV943: ['MQ.33L5.B1', 'MB.C33L5.B1', 'MB.B33L5.B1', 'MB.A33L5.B1']
31L5_CV947: ['MQ.32L5.B1', 'MB.C32L5.B1', 'MB.B32L5.B1', 'MB.A32L5.B1']
