11R6_CV943: ['MQ.11R6.B1', 'MB.A12R6.B1', 'MB.B12R6.B1', 'MB.C12R6.B1']
13R6_CV947: ['MQ.12R6.B1', 'MB.A13R6.B1', 'MB.B13R6.B1', 'MB.C13R6.B1']
13R6_CV943: ['MQ.13R6.B1', 'MB.A14R6.B1', 'MB.B14R6.B1', 'MB.C14R6.B1']
15R6_CV947: ['MQ.14R6.B1', 'MB.A15R6.B1', 'MB.B15R6.B1', 'MB.C15R6.B1']
15R6_CV943: ['MQ.15R6.B1', 'MB.A16R6.B1', 'MB.B16R6.B1', 'MB.C16R6.B1']
17R6_CV947: ['MQ.16R6.B1', 'MB.A17R6.B1', 'MB.B17R6.B1', 'MB.C17R6.B1']
17R6_CV943: ['MQ.17R6.B1', 'MB.A18R6.B1', 'MB.B18R6.B1', 'MB.C18R6.B1']
19R6_CV947: ['MQ.18R6.B1', 'MB.A19R6.B1', 'MB.B19R6.B1', 'MB.C19R6.B1']
19R6_CV943: ['MQ.19R6.B1', 'MB.A20R6.B1', 'MB.B20R6.B1', 'MB.C20R6.B1']
21R6_CV947: ['MQ.20R6.B1', 'MB.A21R6.B1', 'MB.B21R6.B1', 'MB.C21R6.B1']
21R6_CV943: ['MQ.21R6.B1', 'MB.A22R6.B1', 'MB.B22R6.B1', 'MB.C22R6.B1']
23R6_CV947: ['MQ.22R6.B1', 'MB.A23R6.B1', 'MB.B23R6.B1', 'MB.C23R6.B1']
23R6_CV943: ['MQ.23R6.B1', 'MB.A24R6.B1', 'MB.B24R6.B1', 'MB.C24R6.B1']
25R6_CV947: ['MQ.24R6.B1', 'MB.A25R6.B1', 'MB.B25R6.B1', 'MB.C25R6.B1']
25R6_CV943: ['MQ.25R6.B1', 'MB.A26R6.B1', 'MB.B26R6.B1', 'MB.C26R6.B1']
27R6_CV947: ['MQ.26R6.B1', 'MB.A27R6.B1', 'MB.B27R6.B1', 'MB.C27R6.B1']
27R6_CV943: ['MQ.27R6.B1', 'MB.A28R6.B1', 'MB.B28R6.B1', 'MB.C28R6.B1']
29R6_CV947: ['MQ.28R6.B1', 'MB.A29R6.B1', 'MB.B29R6.B1', 'MB.C29R6.B1']
29R6_CV943: ['MQ.29R6.B1', 'MB.A30R6.B1', 'MB.B30R6.B1', 'MB.C30R6.B1']
31R6_CV947: ['MQ.30R6.B1', 'MB.A31R6.B1', 'MB.B31R6.B1', 'MB.C31R6.B1']
31R6_CV943: ['MQ.31R6.B1', 'MB.A32R6.B1', 'MB.B32R6.B1', 'MB.C32R6.B1']
33R6_CV947: ['MQ.32R6.B1', 'MB.A33R6.B1', 'MB.B33R6.B1', 'MB.C33R6.B1']
33R6_CV943: ['MQ.33R6.B1', 'MB.A34R6.B1', 'MB.B34R6.B1', 'MB.C34R6.B1']
33L7_CV947: ['MQ.34R6.B1', 'MB.C34L7.B1', 'MB.B34L7.B1', 'MB.A34L7.B1']
33L7_CV943: ['MQ.33L7.B1', 'MB.C33L7.B1', 'MB.B33L7.B1', 'MB.A33L7.B1']
31L7_CV947: ['MQ.32L7.B1', 'MB.C32L7.B1', 'MB.B32L7.B1', 'MB.A32L7.B1']
31L7_CV943: ['MQ.31L7.B1', 'MB.C31L7.B1', 'MB.B31L7.B1', 'MB.A31L7.B1']
29L7_CV947: ['MQ.30L7.B1', 'MB.C30L7.B1', 'MB.B30L7.B1', 'MB.A30L7.B1']
29L7_CV943: ['MQ.29L7.B1', 'MB.C29L7.B1', 'MB.B29L7.B1', 'MB.A29L7.B1']
27L7_CV947: ['MQ.28L7.B1', 'MB.C28L7.B1', 'MB.B28L7.B1', 'MB.A28L7.B1']
27L7_CV943: ['MQ.27L7.B1', 'MB.C27L7.B1', 'MB.B27L7.B1', 'MB.A27L7.B1']
25L7_CV947: ['MQ.26L7.B1', 'MB.C26L7.B1', 'MB.B26L7.B1', 'MB.A26L7.B1']
25L7_CV943: ['MQ.25L7.B1', 'MB.C25L7.B1', 'MB.B25L7.B1', 'MB.A25L7.B1']
23L7_CV947: ['MQ.24L7.B1', 'MB.C24L7.B1', 'MB.B24L7.B1', 'MB.A24L7.B1']
23L7_CV943: ['MQ.23L7.B1', 'MB.C23L7.B1', 'MB.B23L7.B1', 'MB.A23L7.B1']
21L7_CV947: ['MQ.22L7.B1', 'MB.C22L7.B1', 'MB.B22L7.B1', 'MB.A22L7.B1']
