11R5_CV943: ['MQ.11R5.B1', 'MB.A12R5.B1', 'MB.B12R5.B1', 'MB.C12R5.B1']
13R5_CV947: ['MQ.12R5.B1', 'MB.A13R5.B1', 'MB.B13R5.B1', 'MB.C13R5.B1']
13R5_CV943: ['MQ.13R5.B1', 'MB.A14R5.B1', 'MB.B14R5.B1', 'MB.C14R5.B1']
15R5_CV947: ['MQ.14R5.B1', 'MB.A15R5.B1', 'MB.B15R5.B1', 'MB.C15R5.B1']
15R5_CV943: ['MQ.15R5.B1', 'MB.A16R5.B1', 'MB.B16R5.B1', 'MB.C16R5.B1']
17R5_CV947: ['MQ.16R5.B1', 'MB.A17R5.B1', 'MB.B17R5.B1', 'MB.C17R5.B1']
17R5_CV943: ['MQ.17R5.B1', 'MB.A18R5.B1', 'MB.B18R5.B1', 'MB.C18R5.B1']
19R5_CV947: ['MQ.18R5.B1', 'MB.A19R5.B1', 'MB.B19R5.B1', 'MB.C19R5.B1']
19R5_CV943: ['MQ.19R5.B1', 'MB.A20R5.B1', 'MB.B20R5.B1', 'MB.C20R5.B1']
21R5_CV947: ['MQ.20R5.B1', 'MB.A21R5.B1', 'MB.B21R5.B1', 'MB.C21R5.B1']
21R5_CV943: ['MQ.21R5.B1', 'MB.A22R5.B1', 'MB.B22R5.B1', 'MB.C22R5.B1']
23R5_CV947: ['MQ.22R5.B1', 'MB.A23R5.B1', 'MB.B23R5.B1', 'MB.C23R5.B1']
23R5_CV943: ['MQ.23R5.B1', 'MB.A24R5.B1', 'MB.B24R5.B1', 'MB.C24R5.B1']
25R5_CV947: ['MQ.24R5.B1', 'MB.A25R5.B1', 'MB.B25R5.B1', 'MB.C25R5.B1']
25R5_CV943: ['MQ.25R5.B1', 'MB.A26R5.B1', 'MB.B26R5.B1', 'MB.C26R5.B1']
27R5_CV947: ['MQ.26R5.B1', 'MB.A27R5.B1', 'MB.B27R5.B1', 'MB.C27R5.B1']
27R5_CV943: ['MQ.27R5.B1', 'MB.A28R5.B1', 'MB.B28R5.B1', 'MB.C28R5.B1']
29R5_CV947: ['MQ.28R5.B1', 'MB.A29R5.B1', 'MB.B29R5.B1', 'MB.C29R5.B1']
29R5_CV943: ['MQ.29R5.B1', 'MB.A30R5.B1', 'MB.B30R5.B1', 'MB.C30R5.B1']
31R5_CV947: ['MQ.30R5.B1', 'MB.A31R5.B1', 'MB.B31R5.B1', 'MB.C31R5.B1']
31R5_CV943: ['MQ.31R5.B1', 'MB.A32R5.B1', 'MB.B32R5.B1', 'MB.C32R5.B1']
33R5_CV947: ['MQ.32R5.B1', 'MB.A33R5.B1', 'MB.B33R5.B1', 'MB.C33R5.B1']
33R5_CV943: ['MQ.33R5.B1', 'MB.A34R5.B1', 'MB.B34R5.B1', 'MB.C34R5.B1']
33L6_CV947: ['MQ.34R5.B1', 'MB.C34L6.B1', 'MB.B34L6.B1', 'MB.A34L6.B1']
33L6_CV943: ['MQ.33L6.B1', 'MB.C33L6.B1', 'MB.B33L6.B1', 'MB.A33L6.B1']
31L6_CV947: ['MQ.32L6.B1', 'MB.C32L6.B1', 'MB.B32L6.B1', 'MB.A32L6.B1']
31L6_CV943: ['MQ.31L6.B1', 'MB.C31L6.B1', 'MB.B31L6.B1', 'MB.A31L6.B1']
29L6_CV947: ['MQ.30L6.B1', 'MB.C30L6.B1', 'MB.B30L6.B1', 'MB.A30L6.B1']
29L6_CV943: ['MQ.29L6.B1', 'MB.C29L6.B1', 'MB.B29L6.B1', 'MB.A29L6.B1']
