11R1_CV943: ['MQ.11R1.B1', 'MB.A12R1.B1', 'MB.B12R1.B1', 'MB.C12R1.B1']
13R1_CV947: ['MQ.12R1.B1', 'MB.A13R1.B1', 'MB.B13R1.B1', 'MB.C13R1.B1']
13R1_CV943: ['MQ.13R1.B1', 'MB.A14R1.B1', 'MB.B14R1.B1', 'MB.C14R1.B1']
15R1_CV947: ['MQ.14R1.B1', 'MB.A15R1.B1', 'MB.B15R1.B1', 'MB.C15R1.B1']
15R1_CV943: ['MQ.15R1.B1', 'MB.A16R1.B1', 'MB.B16R1.B1', 'MB.C16R1.B1']
17R1_CV947: ['MQ.16R1.B1', 'MB.A17R1.B1', 'MB.B17R1.B1', 'MB.C17R1.B1']
17R1_CV943: ['MQ.17R1.B1', 'MB.A18R1.B1', 'MB.B18R1.B1', 'MB.C18R1.B1']
19R1_CV947: ['MQ.18R1.B1', 'MB.A19R1.B1', 'MB.B19R1.B1', 'MB.C19R1.B1']
19R1_CV943: ['MQ.19R1.B1', 'MB.A20R1.B1', 'MB.B20R1.B1', 'MB.C20R1.B1']
21R1_CV947: ['MQ.20R1.B1', 'MB.A21R1.B1', 'MB.B21R1.B1', 'MB.C21R1.B1']
21R1_CV943: ['MQ.21R1.B1', 'MB.A22R1.B1', 'MB.B22R1.B1', 'MB.C22R1.B1']
23R1_CV947: ['MQ.22R1.B1', 'MB.A23R1.B1', 'MB.B23R1.B1', 'MB.C23R1.B1']
23R1_CV943: ['MQ.23R1.B1', 'MB.A24R1.B1', 'MB.B24R1.B1', 'MB.C24R1.B1']
25R1_CV947: ['MQ.24R1.B1', 'MB.A25R1.B1', 'MB.B25R1.B1', 'MB.C25R1.B1']
25R1_CV943: ['MQ.25R1.B1', 'MB.A26R1.B1', 'MB.B26R1.B1', 'MB.C26R1.B1']
27R1_CV947: ['MQ.26R1.B1', 'MB.A27R1.B1', 'MB.B27R1.B1', 'MB.C27R1.B1']
27R1_CV943: ['MQ.27R1.B1', 'MB.A28R1.B1', 'MB.B28R1.B1', 'MB.C28R1.B1']
29R1_CV947: ['MQ.28R1.B1', 'MB.A29R1.B1', 'MB.B29R1.B1', 'MB.C29R1.B1']
29R1_CV943: ['MQ.29R1.B1', 'MB.A30R1.B1', 'MB.B30R1.B1', 'MB.C30R1.B1']
31R1_CV947: ['MQ.30R1.B1', 'MB.A31R1.B1', 'MB.B31R1.B1', 'MB.C31R1.B1']
31R1_CV943: ['MQ.31R1.B1', 'MB.A32R1.B1', 'MB.B32R1.B1', 'MB.C32R1.B1']
33R1_CV947: ['MQ.32R1.B1', 'MB.A33R1.B1', 'MB.B33R1.B1', 'MB.C33R1.B1']
33R1_CV943: ['MQ.33R1.B1', 'MB.A34R1.B1', 'MB.B34R1.B1', 'MB.C34R1.B1']
33L2_CV947: ['MQ.34R1.B1', 'MB.C34L2.B1', 'MB.B34L2.B1', 'MB.A34L2.B1']
33L2_CV943: ['MQ.33L2.B1', 'MB.C33L2.B1', 'MB.B33L2.B1', 'MB.A33L2.B1']
31L2_CV947: ['MQ.32L2.B1', 'MB.C32L2.B1', 'MB.B32L2.B1', 'MB.A32L2.B1']
31L2_CV943: ['MQ.31L2.B1', 'MB.C31L2.B1', 'MB.B31L2.B1', 'MB.A31L2.B1']
29L2_CV947: ['MQ.30L2.B1', 'MB.C30L2.B1', 'MB.B30L2.B1', 'MB.A30L2.B1']
29L2_CV943: ['MQ.29L2.B1', 'MB.C29L2.B1', 'MB.B29L2.B1', 'MB.A29L2.B1']
27L2_CV947: ['MQ.28L2.B1', 'MB.C28L2.B1', 'MB.B28L2.B1', 'MB.A28L2.B1']
27L2_CV943: ['MQ.27L2.B1', 'MB.C27L2.B1', 'MB.B27L2.B1', 'MB.A27L2.B1']
25L2_CV947: ['MQ.26L2.B1', 'MB.C26L2.B1', 'MB.B26L2.B1', 'MB.A26L2.B1']
25L2_CV943: ['MQ.25L2.B1', 'MB.C25L2.B1', 'MB.B25L2.B1', 'MB.A25L2.B1']
23L2_CV947: ['MQ.24L2.B1', 'MB.C24L2.B1', 'MB.B24L2.B1', 'MB.A24L2.B1']
23L2_CV943: ['MQ.23L2.B1', 'MB.C23L2.B1', 'MB.B23L2.B1', 'MB.A23L2.B1']
21L2_CV947: ['MQ.22L2.B1', 'MB.C22L2.B1', 'MB.B22L2.B1', 'MB.A22L2.B1']
21L2_CV943: ['MQ.21L2.B1', 'MB.C21L2.B1', 'MB.B21L2.B1', 'MB.A21L2.B1']
19L2_CV947: ['MQ.20L2.B1', 'MB.C20L2.B1', 'MB.B20L2.B1', 'MB.A20L2.B1']
19L2_CV943: ['MQ.19L2.B1', 'MB.C19L2.B1', 'MB.B19L2.B1', 'MB.A19L2.B1']
17L2_CV947: ['MQ.18L2.B1', 'MB.C18L2.B1', 'MB.B18L2.B1', 'MB.A18L2.B1']
17L2_CV943: ['MQ.17L2.B1', 'MB.C17L2.B1', 'MB.B17L2.B1', 'MB.A17L2.B1']
15L2_CV947: ['MQ.16L2.B1', 'MB.C16L2.B1', 'MB.B16L2.B1', 'MB.A16L2.B1']
15L2_CV943: ['MQ.15L2.B1', 'MB.C15L2.B1', 'MB.B15L2.B1', 'MB.A15L2.B1']
13L2_CV947: ['MQ.14L2.B1', 'MB.C14L2.B1', 'MB.B14L2.B1', 'MB.A14L2.B1']
13L2_CV943: ['MQ.13L2.B1', 'MB.C13L2.B1', 'MB.B13L2.B1', 'MB.A13L2.B1']
11L2_CV947: ['MQ.12L2.B1', 'MB.C12L2.B1', 'MB.B12L2.B1', 'MB.A12L2.B1']
