11R7_CV943: ['MQ.11R7.B1', 'MB.A12R7.B1', 'MB.B12R7.B1', 'MB.C12R7.B1']
13R7_CV947: ['MQ.12R7.B1', 'MB.A13R7.B1', 'MB.B13R7.B1', 'MB.C13R7.B1']
13R7_CV943: ['MQ.13R7.B1', 'MB.A14R7.B1', 'MB.B14R7.B1', 'MB.C14R7.B1']
15R7_CV947: ['MQ.14R7.B1', 'MB.A15R7.B1', 'MB.B15R7.B1', 'MB.C15R7.B1']
15R7_CV943: ['MQ.15R7.B1', 'MB.A16R7.B1', 'MB.B16R7.B1', 'MB.C16R7.B1']
17R7_CV947: ['MQ.16R7.B1', 'MB.A17R7.B1', 'MB.B17R7.B1', 'MB.C17R7.B1']
17R7_CV943: ['MQ.17R7.B1', 'MB.A18R7.B1', 'MB.B18R7.B1', 'MB.C18R7.B1']
19R7_CV947: ['MQ.18R7.B1', 'MB.A19R7.B1', 'MB.B19R7.B1', 'MB.C19R7.B1']
19R7_CV943: ['MQ.19R7.B1', 'MB.A20R7.B1', 'MB.B20R7.B1', 'MB.C20R7.B1']
21R7_CV947: ['MQ.20R7.B1', 'MB.A21R7.B1', 'MB.B21R7.B1', 'MB.C21R7.B1']
21R7_CV943: ['MQ.21R7.B1', 'MB.A22R7.B1', 'MB.B22R7.B1', 'MB.C22R7.B1']
23R7_CV947: ['MQ.22R7.B1', 'MB.A23R7.B1', 'MB.B23R7.B1', 'MB.C23R7.B1']
23R7_CV943: ['MQ.23R7.B1', 'MB.A24R7.B1', 'MB.B24R7.B1', 'MB.C24R7.B1']
25R7_CV947: ['MQ.24R7.B1', 'MB.A25R7.B1', 'MB.B25R7.B1', 'MB.C25R7.B1']
25R7_CV943: ['MQ.25R7.B1', 'MB.A26R7.B1', 'MB.B26R7.B1', 'MB.C26R7.B1']
27R7_CV947: ['MQ.26R7.B1', 'MB.A27R7.B1', 'MB.B27R7.B1', 'MB.C27R7.B1']
27R7_CV943: ['MQ.27R7.B1', 'MB.A28R7.B1', 'MB.B28R7.B1', 'MB.C28R7.B1']
29R7_CV947: ['MQ.28R7.B1', 'MB.A29R7.B1', 'MB.B29R7.B1', 'MB.C29R7.B1']
29R7_CV943: ['MQ.29R7.B1', 'MB.A30R7.B1', 'MB.B30R7.B1', 'MB.C30R7.B1']
31R7_CV947: ['MQ.30R7.B1', 'MB.A31R7.B1', 'MB.B31R7.B1', 'MB.C31R7.B1']
31R7_CV943: ['MQ.31R7.B1', 'MB.A32R7.B1', 'MB.B32R7.B1', 'MB.C32R7.B1']
33R7_CV947: ['MQ.32R7.B1', 'MB.A33R7.B1', 'MB.B33R7.B1', 'MB.C33R7.B1']
33R7_CV943: ['MQ.33R7.B1', 'MB.A34R7.B1', 'MB.B34R7.B1', 'MB.C34R7.B1']
33L8_CV947: ['MQ.34R7.B1', 'MB.C34L8.B1', 'MB.B34L8.B1', 'MB.A34L8.B1']
33L8_CV943: ['MQ.33L8.B1', 'MB.C33L8.B1', 'MB.B33L8.B1', 'MB.A33L8.B1']
31L8_CV947: ['MQ.32L8.B1', 'MB.C32L8.B1', 'MB.B32L8.B1', 'MB.A32L8.B1']
31L8_CV943: ['MQ.31L8.B1', 'MB.C31L8.B1', 'MB.B31L8.B1', 'MB.A31L8.B1']
