11R8_CV943: ['MQ.11R8.B1', 'MB.A12R8.B1', 'MB.B12R8.B1', 'MB.C12R8.B1']
13R8_CV947: ['MQ.12R8.B1', 'MB.A13R8.B1', 'MB.B13R8.B1', 'MB.C13R8.B1']
13R8_CV943: ['MQ.13R8.B1', 'MB.A14R8.B1', 'MB.B14R8.B1', 'MB.C14R8.B1']
15R8_CV947: ['MQ.14R8.B1', 'MB.A15R8.B1', 'MB.B15R8.B1', 'MB.C15R8.B1']
15R8_CV943: ['MQ.15R8.B1', 'MB.A16R8.B1', 'MB.B16R8.B1', 'MB.C16R8.B1']
17R8_CV947: ['MQ.16R8.B1', 'MB.A17R8.B1', 'MB.B17R8.B1', 'MB.C17R8.B1']
17R8_CV943: ['MQ.17R8.B1', 'MB.A18R8.B1', 'MB.B18R8.B1', 'MB.C18R8.B1']
19R8_CV947: ['MQ.18R8.B1', 'MB.A19R8.B1', 'MB.B19R8.B1', 'MB.C19R8.B1']
19R8_CV943: ['MQ.19R8.B1', 'MB.A20R8.B1', 'MB.B20R8.B1', 'MB.C20R8.B1']
21R8_CV947: ['MQ.20R8.B1', 'MB.A21R8.B1', 'MB.B21R8.B1', 'MB.C21R8.B1']
21R8_CV943: ['MQ.21R8.B1', 'MB.A22R8.B1', 'MB.B22R8.B1', 'MB.C22R8.B1']
23R8_CV947: ['MQ.22R8.B1', 'MB.A23R8.B1', 'MB.B23R8.B1', 'MB.C23R8.B1']
23R8_CV943: ['MQ.23R8.B1', 'MB.A24R8.B1', 'MB.B24R8.B1', 'MB.C24R8.B1']
25R8_CV947: ['MQ.24R8.B1', 'MB.A25R8.B1', 'MB.B25R8.B1', 'MB.C25R8.B1']
25R8_CV943: ['MQ.25R8.B1', 'MB.A26R8.B1', 'MB.B26R8.B1', 'MB.C26R8.B1']
27R8_CV947: ['MQ.26R8.B1', 'MB.A27R8.B1', 'MB.B27R8.B1', 'MB.C27R8.B1']
27R8_CV943: ['MQ.27R8.B1', 'MB.A28R8.B1', 'MB.B28R8.B1', 'MB.C28R8.B1']
29R8_CV947: ['MQ.28R8.B1', 'MB.A29R8.B1', 'MB.B29R8.B1', 'MB.C29R8.B1']
29R8_CV943: ['MQ.29R8.B1', 'MB.A30R8.B1', 'MB.B30R8.B1', 'MB.C30R8.B1']
31R8_CV947: ['MQ.30R8.B1', 'MB.A31R8.B1', 'MB.B31R8.B1', 'MB.C31R8.B1']
